Cluster,Depth,ID,Session
1.0,-1038.8321038904414,1.0,1.0
4.0,-984.9004521054785,5.0,1.0
1.0,-951.1161291609873,11.0,1.0
1.0,-931.4805325219829,18.0,1.0
2.0,-899.8629149456457,19.0,1.0
1.0,-808.5315357725133,26.0,1.0
0.0,-769.6843086090018,27.0,1.0
0.0,-546.4412351271022,48.0,1.0
1.0,-489.3606226768551,51.0,1.0
0.0,-470.5045586402929,54.0,1.0
4.0,230.0,99.0,1.0
4.0,252.38956074679754,101.0,1.0
0.0,-791.6049746701963,231.0,1.0
0.0,-730.0,255.0,1.0
1.0,-1156.8874433397432,0.0,2.0
3.0,-910.7560746398626,4.0,2.0
0.0,-855.0324587122504,5.0,2.0
1.0,-810.0,7.0,2.0
4.0,-802.6347159366278,8.0,2.0
1.0,-751.5083539773188,10.0,2.0
0.0,-505.19579399441875,20.0,2.0
0.0,136.09882876997222,120.0,2.0
3.0,930.0,281.0,2.0
1.0,-1071.7277219736739,308.0,2.0
4.0,-804.581107846325,310.0,2.0
1.0,-880.3480111241149,5.0,3.0
2.0,-808.7534078094337,10.0,3.0
3.0,-734.7877480425835,17.0,3.0
4.0,-637.0305710382727,25.0,3.0
2.0,-433.7791254979544,40.0,3.0
0.0,-438.9233523175395,41.0,3.0
3.0,-451.72357354353403,42.0,3.0
1.0,-827.8461130213218,369.0,3.0
0.0,-750.0,374.0,3.0
0.0,221.01852768571825,258.0,4.0
0.0,303.024898337713,266.0,4.0
2.0,310.0,269.0,4.0
0.0,330.0,274.0,4.0
0.0,350.0,277.0,4.0
1.0,363.58893951883965,281.0,4.0
3.0,383.5645856209958,286.0,4.0
0.0,410.0,287.0,4.0
0.0,400.68691152901533,288.0,4.0
3.0,445.189509418999,294.0,4.0
1.0,472.15844221116004,296.0,4.0
1.0,485.0512652691134,297.0,4.0
1.0,471.63556543793607,298.0,4.0
1.0,490.0,299.0,4.0
1.0,525.0793731991641,307.0,4.0
2.0,560.0638088898845,308.0,4.0
2.0,535.4333297153858,309.0,4.0
2.0,554.974584246233,310.0,4.0
0.0,570.0,316.0,4.0
0.0,556.5842208166998,317.0,4.0
1.0,548.5507814030284,321.0,4.0
0.0,634.4279240248641,325.0,4.0
0.0,630.0,327.0,4.0
0.0,630.0,328.0,4.0
1.0,656.4826745456353,329.0,4.0
3.0,705.0037555125368,345.0,4.0
2.0,987.867048316185,375.0,4.0
2.0,1002.7278663084219,381.0,4.0
3.0,375.5295253965164,623.0,4.0
0.0,554.6274718110938,629.0,4.0
1.0,576.8738096789593,630.0,4.0
1.0,750.6744615542568,634.0,4.0
1.0,531.1696961514156,661.0,4.0
0.0,564.5149340796031,663.0,4.0
2.0,454.70833710189686,693.0,4.0
1.0,450.0,694.0,4.0
1.0,471.1360434674516,695.0,4.0
0.0,575.0471264243336,696.0,4.0
1.0,623.7939406669555,697.0,4.0
2.0,970.8399512287822,698.0,4.0
0.0,1010.0,699.0,4.0
2.0,374.217170020695,710.0,4.0
2.0,375.781982516834,711.0,4.0
0.0,435.1006261269604,185.0,5.0
1.0,501.8648135165531,187.0,5.0
1.0,535.0970468527337,190.0,5.0
2.0,565.1911958339936,192.0,5.0
0.0,571.4123651984862,193.0,5.0
3.0,609.9535605603037,195.0,5.0
1.0,629.4551815845309,196.0,5.0
3.0,708.2235699391586,201.0,5.0
1.0,739.5395075373085,202.0,5.0
4.0,729.5028885050076,204.0,5.0
4.0,698.1251433011553,207.0,5.0
4.0,768.0123855875777,209.0,5.0
2.0,827.3394625236583,213.0,5.0
1.0,830.0,214.0,5.0
0.0,830.0,215.0,5.0
0.0,844.4361616195413,217.0,5.0
4.0,953.324637218217,228.0,5.0
0.0,1170.0,243.0,5.0
1.0,1630.0,318.0,5.0
1.0,734.3788264226264,571.0,5.0
4.0,745.4389103873007,572.0,5.0
4.0,763.809635541262,573.0,5.0
2.0,943.242134405855,574.0,5.0
1.0,1611.3804963021894,590.0,5.0
1.0,790.3476516659662,662.0,5.0
2.0,868.0614147950282,663.0,5.0
1.0,1625.1062604273434,669.0,5.0
2.0,868.5590332099223,682.0,5.0
